1 -> 6 -> 56
Best result on iteration 0: 527
Best result on iteration 250: 527
Best result on iteration 500: 527
Best result on iteration 750: 527
Best result on iteration 1000: 527
Best result on iteration 1250: 527
Best result on iteration 1500: 527
Best result on iteration 1750: 527
Best result on iteration 2000: 527
Best result on iteration 2250: 527
Best result on iteration 2500: 527
Best result on iteration 2750: 527
Best result on iteration 3000: 527
Best result on iteration 3250: 527
Best result on iteration 3500: 527
Best result on iteration 3750: 527
Best result on iteration 4000: 527
Best result on iteration 4250: 527
Best result on iteration 4500: 527
Best result on iteration 4750: 527
Best result on iteration 5000: 527
Best result on iteration 5250: 527
Best result on iteration 5500: 527
Best result on iteration 5750: 527
Best result on iteration 6000: 527
Best result on iteration 6250: 527
Best result on iteration 6500: 527
Best result on iteration 6750: 527
Best result on iteration 7000: 527
Best result on iteration 7250: 527
Best result on iteration 7500: 527
Best result on iteration 7750: 527
Best result on iteration 8000: 527
Best result on iteration 8250: 527
Best result on iteration 8500: 527
Best result on iteration 8750: 527
Best result on iteration 9000: 527
Best result on iteration 9250: 527
Best result on iteration 9500: 527
Best result on iteration 9750: 527
Best result on iteration 10000: 527
Best result on iteration 10250: 527
Best result on iteration 10500: 527
Best result on iteration 10750: 527
Best result on iteration 11000: 527
Run time: 14401
Best result: 527
